Date,Close,Adjusted_close,Volume,Trading_Value,Volume_2,Trading_Value_2,Open,High,Low
2025-01-06,1246.35,1246.35,515112770.0,12168.04,48195462.0,1460.24,1254.79,1260.37,1244.87
2025-01-07,1248.78,1248.78,73908334.0,1352.71,53995790.0,1434.06,1249.19,1251.28,1248.11
2025-01-08,1251.02,1251.02,367525429.0,8500.28,72869816.0,1632.29,1246.16,1251.02,1239.67
2025-01-09,1245.77,1245.77,290493053.0,6617.71,45729815.0,894.14,1250.56,1253.26,1242.9
2025-01-10,1230.48,1230.48,474210876.0,10437.21,18355524.0,611.88,1245.6,1247.8,1230.48
2025-01-13,1235.65,1235.65,434026581.0,9287.14,82931871.0,2697.78,1226.66,1235.65,1220.87
2025-01-14,1229.07,1229.07,322277955.0,7132.29,48770437.0,1257.18,1234.77,1235.54,1226.7
2025-01-15,1236.18,1236.18,392612592.0,8452.02,72214156.0,1843.21,1233.29,1237.46,1231.13
2025-01-16,1242.36,1242.36,401866522.0,9440.25,88196352.0,3477.55,1241.74,1245.4,1235.56
2025-01-17,1249.11,1249.11,356809485.0,8202.83,50972159.0,1359.45,1242.38,1249.11,1239.63
2025-01-20,1249.55,1249.55,356668087.0,7786.57,74936828.0,2094.72,1250.13,1253.02,1247.5
2025-01-21,1246.09,1246.09,377031582.0,8455.39,108727256.0,2759.17,1252.75,1254.17,1243.08
2025-01-22,1242.53,1242.53,400238906.0,9323.75,100038831.0,2586.6,1248.26,1249.14,1242.53
2025-01-23,1259.63,1259.63,495614623.0,11924.02,45867457.0,1300.46,1245.59,1263.59,1244.77
2025-01-24,1265.05,1265.05,495593378.0,11104.12,28668915.0,706.24,1259.26,1265.38,1258.46
2025-02-04,1264.68,1264.68,584665483.0,13066.75,74735909.0,2177.88,1256.91,1264.68,1255.44
2025-02-05,1269.61,1269.61,533621747.0,11917.12,52952055.0,1396.72,1268.43,1271.8,1266.18
2025-02-06,1271.48,1271.48,537101428.0,11943.45,26120116.0,865.87,1273.58,1275.47,1268.28
2025-02-07,1275.2,1275.2,549313151.0,12549.53,68447444.0,2106.26,1271.98,1279.35,1269.11
2025-02-10,1263.26,1263.26,722097200.0,17271.48,72798460.0,1604.89,1272.27,1274.47,1263.26
2025-02-11,1268.45,1268.45,571766983.0,12731.69,56630367.0,1465.59,1265.44,1268.45,1263.11
2025-02-12,1266.91,1266.91,461572874.0,10140.84,44186215.0,1134.25,1270.83,1272.86,1266.59
2025-02-13,1270.35,1270.35,471455473.0,10841.47,40242989.0,888.68,1267.25,1270.67,1263.85
2025-02-14,1276.08,1276.08,612730570.0,13916.72,37141687.0,930.43,1277.52,1280.6,1274.0
