Ngày;Giá (nghìn VN_);;Thay __i;GD kh_p l_nh;;GD th_a thu_n;;Giá (nghìn VN_);;
;Đóng cửa;Điều chỉnh;;Khối lượng;Giá trị (tỉ VNĐ);Khối lượng;Giá trị (tỉ VNĐ);Mở cửa;Cao nhất;Thấp nhất
1/8/25;1495.21;1,495.21;-7.31(-0.49 %);1,379,786,500;36,477.6;63,218,704;2,289.03;1,506.65;1,509.03;1,486.59
31/7/25;1502.52;1,502.52;-5.11(-0.34 %);1,650,159,600;41,813.64;41,085,841;1,328.92;1,521.96;1,522.39;1,488.3
30/7/25;1507.63;1,507.63;14.22(0.95 %);1,619,066,300;40,560.75;42,434,162;1,062.12;1,502.26;1,512.15;1,482.45
29/7/25;1493.41;1,493.41;-64.01(-4.11 %);2,641,155,500;67,414.97;133,605,067;3,773.35;1,562.6;1,564.92;1,489.93
28/7/25;1557.42;1,557.42;26.29(1.72 %);1,786,939,000;44,281.6;59,782,972;2,188.91;1,541.87;1,558.12;1,538.72
25/7/25;1531.13;1,531.13;10.11(0.66 %);1,404,476,000;35,867.58;44,224,485;1,306.57;1,521.56;1,534.51;1,521.52
24/7/25;1521.02;1,521.02;8.71(0.58 %);1,389,163,200;34,086.6;79,792,606;2,516.53;1,520.25;1,525.32;1,502.82
23/7/25;1512.31;1,512.31;2.77(0.18 %);1,438,007,400;36,150.44;57,333,567;1,714.96;1,519.58;1,523.37;1,507.14
22/7/25;1509.54;1,509.54;24.49(1.65 %);1,229,770,900;30,443.04;54,599,826;2,886.65;1,484.15;1,509.67;1,476.61
21/7/25;1485.05;1,485.05;-12.23(-0.82 %);1,388,123,900;32,802.47;66,927,382;1,770.25;1,508.6;1,511.96;1,485.05
18/7/25;1497.28;1,497.28;7.27(0.49 %);1,458,843,700;34,768.66;27,321,989;836.65;1,497.53;1,501.2;1,484.29
17/7/25;1490.01;1,490.01;22.82(1.56 %);1,404,149,000;34,191.75;42,416,010;1,370.23;1,481.79;1,494.36;1,481.44
16/7/25;1467.19;1,467.19;6.54(0.45 %);1,217,850,400;27,451.68;127,492,417;5,150.14;1,459.87;1,467.52;1,457.31
15/7/25;1460.65;1,460.65;-9.77(-0.66 %);1,331,406,200;32,053.09;73,465,865;2,220.29;1,473.8;1,476.32;1,460.49
14/7/25;1470.42;1,470.42;12.66(0.87 %);1,255,895,600;29,131.18;89,541,407;2,205.12;1,471.4;1,473.93;1,447.72
11/7/25;1457.76;1,457.76;12.12(0.84 %);1,231,433,400;30,765.51;35,881,800;943.72;1,451.12;1,463.91;1,448.29
10/7/25;1445.64;1,445.64;14.32(1.00 %);1,073,003,900;26,209.02;47,365,082;1,179.2;1,437.18;1,446.16;1,434.06
